"Edad
",Género,¿De cuánto tiempo dispones para realizar la ruta?,Tipo de ruta preferida,Coste dispuesto a pagar,Dificultad,Acompañamiento,Transporte,score,Selecciona las rutas de tu interés,Selecciona la ruta a pie de dificultad alta de tu interés,Selecciona la ruta a pie de dificultad baja de tu interés,Selecciona la ruta en bici de tu interés,Submitted At,Token
35-45,Hombre,3 horas,Turistica,1-50 Euros,Alta,Solo,,"0,05",,,,,18/07/2022 20:59:06,j1zmueljgcm6fy03r89sj1zmn5ra1ai7
18-35,Hombre,1 hora,Turistica,Gratis,Baja,Solo,Pie,"0,05",,,,,18/07/2022 20:58:59,a8c7ldqlefm5chet9na8c7lo9vil1z70
18-35,Hombre,2 horas,Turistica,Gratis,Baja,Solo,Pie,"0,05",,,,,18/07/2022 20:57:28,drmcsypaxc4q12tz48hfdrmcsp5xrakw
35-45,Hombre,3 horas,Literaria,1-50 Euros,Alta,Solo,Pie,"0,05",,,,,18/07/2022 20:57:22,h0by3ldyhj7bd5ku3k90uh0by3lhda9s
35-45,Hombre,4 horas,Historica,Gratis,Alta,Pareja,Pie,"0,05",,,,,18/07/2022 21:55:56,521q8u947g1dxyx521qs2mdvhw01e0l5
18-35,Hombre,8 horas,Historica,1-50 Euros,Alta,Pareja,Pie,"0,05",,,,,19/07/2022 5:09:13,rrp0yc08tnsyvrrp0k24u63i4btzvn97
18-35,Hombre,3 horas,Patrimonio,Gratis,Alta,Solo,Bicicleta,"0,05",,,,,19/07/2022 7:38:37,22mx45yvy015jx7w8j3us22mx455u65i
18-35,Hombre,3 - 4 horas,Patrimonio,Gratis,Baja,Solo,Bicicleta,"0,05",,,,,19/07/2022 11:28:28,x1n4i6k2z9god1gwolqjx1noiogqe9i4
18-35,Mujer,3 - 4 horas,Turistica,Gratis,Baja,Familia,Pie,"0,07",,,,,19/07/2022 13:18:34,soyo8ukxwhnhfeashtm1soyo8ukxjzry
35-45,,3 - 4 horas,Historica,Gratis,Baja,Familia,Pie,0,,,,,19/07/2022 13:18:40,wlw43tzmqlmnra5scnwlw43zqltmvmv1
18-35,Hombre,3 - 4 horas,Turistica,1-50 Euros,Alta,Pareja,Pie,"0,05",,,,,19/07/2022 15:57:57,7uhb208nrwrkivkw7nafth47uhbb4rqy
+45,Hombre,,Literaria,1-50 Euros,Alta,Pareja,Pie,"0,05",,,,,19/07/2022 16:16:44,tkstt39vqv90nm0zs4tkstt6vzpn9323
18-35,Hombre,3 - 4 horas,Literaria,1-50 Euros,Alta,Solo,Pie,"0,05","Arbres monumentals i singulars, Ruta Carrer Russafa - la Llotja, Sant Agustí – Pont de Fusta, Torres de Quart - Temple",,,,19/07/2022 17:20:43,88ivyps0xnbh6ysa4e88iv3cnks9wwx5
35-45,Hombre,1 - 2 horas,Historica,Gratis,Baja,Pareja,Pie,"0,05",Trinitat - L'Almodí,,,,19/07/2022 17:33:43,0zixciy9gq8x647dkkcxm0zixcx7x179
18-35,Hombre,3 - 4 horas,Historica,Gratis,Baja,Solo,Bicicleta,"0,05","Arbres monumentals i singulars, Arbres: La volta al món, Arbres: Els indians, Arbres: Un passeig per l’Albereda",,,,19/07/2022 17:45:51,txa3rjlpxh66et56s4txa3rskdqt9rvo
18-35,Hombre,3 - 4 horas,Patrimonio,Gratis,Baja,Pareja,Pie,"0,05","Ruta recinte enmurallat d'època islàmica, Sant Agustí – Pont de Fusta, Ruta pel Centre Històric, Ruta Valencia en la Memòria",,,,19/07/2022 18:08:38,d69xudtlkp5dtvjj51sx5sd69xudtowm
18-35,Mujer,3 - 4 horas,Turistica,Gratis,Baja,Pareja,Bicicleta,"0,07",Ruta Cultural Anell Ciclista,,,,19/07/2022 20:11:29,940pz8wvhinnqztka80940pkdn02v6ya
+45,Hombre,1 - 2 horas,Literaria,Gratis,Alta,Pareja,Pie,"0,05",Arbres monumentals i singulars,,,,19/07/2022 20:13:08,x7selsnut03r9ab4x7selsneok43v733
35-45,Mujer,7 - 8 horas,Turistica,1-50 Euros,Baja,Pareja,Pie,"0,07","Arbres monumentals i singulars, Arbres: La volta al món, Arbres: Els indians, Arbres: Un passeig per l’Albereda, Jardins del Reial - Glorieta, Ruta de la Seda, Ruta dels Pecats a l'entorn del Mercat Central, Ruta recinte enmurallat d'època islàmica, Torres de Quart - Temple, Trinitat - L'Almodí",,,,19/07/2022 20:15:33,7ewh7447zdeb3c7ewh74fksiqirph67h
+45,Hombre,1 - 2 horas,Historica,Gratis,Alta,Pareja,Pie,"0,05",Jardins del Reial - Glorieta,,,,19/07/2022 20:18:14,2hyij2juyijoj82hwj94e36lwdc52nvn
