route_id,nombre_punto_interes,lat,long,val_descripcion,cast_descripcion,eng_descripcion,images
3,Avinguda de J.J. Dómine,-0.3318938,39.461346,"Inici de la ruta, dominada per dos exemplars d’Ombús (Phylotaca dioica) i un Arbre ampolla (Brachychiton populneus).","Inicio de la ruta, dominada por dos ejemplares de Ombús (Phylotaca dioica) y un Árbol botella (Brachychiton populneus).","Start of the route, dominated by two specimens of Ombús (Phylotaca dioica) and a Bottle Tree (Brachychiton populneus).",None
3,Drassanes del Grau,-0.3338142,39.46051,En aquesta part intermèdia abans d’encarar l’Avinguda del Port cap al Jardí d’Aiora podem veure una Palmera pindó (Arecastrum romanzoffianum).,En esta parte intermedia antes de encarar la Avenida del Puerto hacia el Jardín de Ayora podemos ver una Palmera pindó (Arecastrum romanzoffianum).,In this intermediate part before facing the Avenida del Puerto towards the Garden of Ayora we can see a Pindó Palm Tree (Arecastrum romanzoffianum).,None
3,Jardí d'Aiora,-0.3439986,39.46751,"Últim tram de la ruta que no obstant això representa la part més extensa d’aquesta. Al Jardí d’Aiora hi ha Eucaliptus, Palmeres de Canàries i Figueres australianes.","Último tramo de la ruta que sin embargo representa la parte más extensa de esta. Al Jardín de Ayora hay Eucalipto, Palmeras de Canarias y Figueres australianas.","Last section of the route that nevertheless represents the longest part of it. In the Ayora Garden there are Eucalyptus, Canary Island Palms and Australian Figueres.",None
1,Plaça del Ajuntament,-0.3766718,39.469795,"(Chamaerops humilis) En la Plaça del Ajuntament podem trobar un “Palmito”, una palmera europea. Els cabdells de la seua tija són comestibles. Les seues fulles s’utilitzaben per confeccionar graneres. Aquest exemplar té més de 60 anys i el trobarem al costat de la font.","(Chamaerops humilis) En la Plaza del Ayuntamiento podemos encontrar un “Palmito”, una palmera europea. Los cogollos de su tallo son comestibles. Sus hojas se utilizaban para confeccionar escobas. Este ejemplar tiene más de 60 años y lo encontraremos junto a la fuente.","(Chamaerops humilis) In the Plaza del Ayuntamiento we can find a “Palmito”, a European palm tree. The buds on its stem are edible. Its leaves are usedzabanto make brooms. This specimen is over 60 years old and we will find it next to the fountain.",None
1,Jardí de Sant Agustí,-0.3803908,39.468594,"En el Jardí de Sant Agustí es troba un lledoner (Celtis australis). Els seus fruits són comestibles i es diuen llidons. Ho trobarem dins del jardí, enfront de l’estàtua del mestre Marçal.","En el Jardín de San Agustín se encuentra un almez (Celtis australis). Sus frutos son comestibles y se llaman llidons. Lo encontraremos dentro del jardín, frente a la estatua del maestro Marzal.","In the Garden of San Agustín there is a hackberry (Celtis australis). Its fruits are edible and are called llidons. We will find him inside the garden, in front of the statue of Master Marzto the.",None
1,"Parc de la Cultura, antic hospital",-0.3822362,39.470123,Xiprer de Cachemira (Cupreshus cashmeriana). Creix fins als 2800 metres d’altitud. Espècie amenaçada que es va conservar en temples budistes. Té color blau verd brillant.,Ciprés de Cachemira (Cupreshus cashmeriana). Crece hasta los 2800 metros de altitud. Especie amenazada que se conservó en sienes budistas. Tiene color azul verde brillante.,Kashmir cypress (Cupreshus cashmeriana). It grows up to 2800 meters of altitude. Endangered species that was preserved in Buddhist temples. Its bright blue-green in color.,None
1,Museu José Benlliure,-0.3792016,39.480938,Til·ler europeu (Tilia europea). En infusió és relaxant.,Tilo europeo (Tilia europea). En infusión es relajante.,European Linden (Tilia Europea). In infusion it is relaxing.,None
1,Torres de Serrans,-0.376478,39.47954,"Figuera australiana (Ficus macrophilia). L’escorça és grisa. Altres exemplars d’interés en el Palau de Raga, Plaça del Centenar de l’Emploma.","Higuera australiana (Ficus macrophilia). La corteza es gris. Otros ejemplares de interés en el Palacio de Raga, Plaza del Centenar de lo Ploma.","Australian fig tree (Ficus macrophilia). The bark is grey. Other specimens of interest in the Raga Palace, Plaza del Centenar de lo Ploma.",None
1,Plaça del Temple,-0.3707602,39.47634,Conjunt de palmeres monumentals.,Conjunto de palmeras monumentales.,Set of monumental palm trees.,None
1,Jardins de la Glorieta i el Parterre,-0.3695467,39.472755,Carrasca de glans dolços (Quercus ballota). Al costat de la font del tritó (col·locada en 1833).,Carrasca de bellotas dulces (Quercus ballota). Junto a la fuente del tritón (colocada en 1833).,Holm oak sweet acorns (Quercus ballota). Next to the triton fountain (placed in 1833).,None
4,Plaça de Saragossa,-0.3610104,39.46929,Punt de Partida,Punto de Partida,Point,None
4,Pont de les Flors,-0.3630596,39.47188,"En aquest punt de la ruta podem trobar Figueres australianes, Palmera canària o Eucalipte roig abans d’avançar cap a la Font de les Quatre Estacions.","En este punto de la ruta podemos encontrar Figueres australianas, Palmera canaria o Eucalipte rojo antes de avanzar hacia la Font de las Cuatro Estaciones.","At this point of the route we can find Australian Figueres, Canary Palm or Red Eucalypte before advancing towards the Fountain of the Four Seasons.",None
4,Albereda,-0.3654522,39.47488,"L’albereda va nàixer amb vocació de ser un passeig per a la ciutadania. Per això, “Un passeig per l’albereda” ens trasllada a aquest emblemàtic lloc el nom el qual té el seu origen en la presència d’uns arbres, els àlbers, dels quals encara podem trobar algun exemplar i ens permetrà descobrir un gran nombre d’espècies, singulars i monumentals en una part de la ciutat carregada d’història.","La alameda nació con vocación de ser un paseo para la ciudadanía. Por eso, “Un paseo por la alameda” nos traslada a este emblemático lugar el nombre el cual tiene su origen en la presencia de unos árboles, los álamos, de los cuales todavía podemos encontrar algún ejemplar y nos permitirá descubrir un gran número de especies, singulares y monumentales en una parte de la ciudad cargada de historia.","The alameda was born with the vocation of being a walk for the citizens. For this reason, ""A walk through the alameda"" takes us to this emblematic place whose name has its origin in the presence of some trees, the poplars, of which we can still find some specimen and will allow us to discover a large number of species , unique and monumental in a part of the city steeped in history.",None
4,Jardí de Monforte,-0.3649738,39.47777,Aquest jardí connecta el Passeig de l’Albereda amb l’Avinguda Blasco Ibañez. En ell trobarem un gran exemplar de Figuera australiana.,Este jardín conecta el Paseo de la Alameda con la Avenida Blasco Ibañez. En él encontraremos un gran ejemplar de Higuera australiana.,This garden connects Paseo de la Alameda with Avenida Blasco Ibañez. In it we will find a large specimen of Australian Fig Tree.,None
