name,esp_resume,eng_resume,val_resume,duration,dificulty,start,end_point,image,url,transport,type,esp_description,val_description,eng_description
Arbres monumentals i singulars,"Los Árboles Monumentales y Singulares reflejan el espíritu de personas, muchas anónimas, que apostaron por conservar y proteger a unos de los seres vivos más longevos del Planeta.","The Monumental and Singular Trees reflect the spirit of people, many of them anonymous, who bet on preserving and protecting some of the longest-lived living beings on the Planet","Els Arbres Monumentals i Singulars reflecteixen lesperit de persones, moltes anònimes, que van apostar per conservar i protegir a uns dels éssers vius més longeus del Planeta.",120,baja,Plaza del Ayuntamiento,Jardines de la Glorieta y Parterre,https://cultural.valencia.es/wp-content/uploads/2019/01/ficus-valencia-parterre.jpg,https://cultural.valencia.es/es/ruta/testigos-de-la-historia-arboles-monumentales-y-singulares-de-la-ciudad-de-valencia/,bicicleta,Històrica,"La presencia de Árboles Monumentales y Singulares en la ciudad de València, refleja el espíritu de personas, muchas anónimas, que apostaron para conservar y proteger a unos de los seres vivos más longevos del Planeta, y la capacidad del cual de crecer durante toda su vida nos permite hoy en día sorprendernos con sus dimensiones o por características que nada tienen que ver con las medidas sino con sus rarezas, su forma peculiar, los hechos históricos asociados a ellos o porque son especies únicas. Han recorrido enormes distancias desde rincones lejanos de todo el mundo, para llegar hasta aquí. Dar la vuelta en el mundo en una mañana, a los Jardines del Real (Viveros), es posible gracias a estos árboles.","La presència d'Arbres Monumentals i Singulars a la ciutat de València, reflecteix l'esperit de persones, moltes anònimes, que van apostar per conservar i protegir a uns dels éssers vius més longeus del Planeta, i la capacitat del qual de créixer durant tota la seua vida ens permet hui dia sorprendre'ns amb les seues dimensions o per característiques que res tenen a veure amb les mesures sinó amb les seues rareses, la seua forma peculiar, els fets històrics associats a ells o perquè són espècies úniques. Han recorregut enormes distàncies des de racons llunyans de tot el món, per a arribar fins ací. Donar la volta al món en un matí, als Jardins del Real (Vivers), és possible gràcies a aquests arbres.","The presence of Monumental and Singular Trees in the city of Valencia, reflects the spirit of people, many anonymous, who bet to preserve and protect some of the longest living beings of the planet, and the ability of which to grow throughout their lives allows us today to be surprised with its dimensions or characteristics that have nothing to do with the measures but with their rarities, their peculiar shape, the historical facts associated with them or because they are unique species. They have traveled enormous distances from distant corners of the world to get here. To go around the world in one morning, to the Jardines del Real (Viveros), is possible thanks to these trees"
Arbres: La volta al món,"Ruta que contiene árboles originarios de todo el mundo, situados todos ellos en los Jardines del Real (Viveros), en el corazón de València.","Route that contains trees originating from all over the world, all of them located in the Jardines del Real (Viveros), in the heart of Valencia.","Ruta que conté arbres originaris de tot el món, situats tots ells als Jardins del Real (Vivers), en el cor de València.",30,baja,Entrada Jardines del Real (C/ San Pio V),Museo de Ciencias Naturales,https://cultural.valencia.es/wp-content/uploads/2019/01/Arbres_als_jardins_de_Vivers_de_València.jpg,https://cultural.valencia.es/es/ruta/arboles-la-vuelta-al-mundo/,peu,Turística,"La presencia de Árboles Monumentales y Singulares en la ciudad de València, refleja el espíritu de personas, muchas anónimas, que apostaron para conservar y proteger a unos de los seres vivos más longevos del Planeta, y la capacidad del cual de crecer durante toda su vida nos permite hoy en día sorprendernos con sus dimensiones o por características que nada tienen que ver con las medidas sino con sus rarezas, su forma peculiar, los hechos históricos asociados a ellos o porque son especies únicas. Todos ellos de forma silenciosa contribuyen en la lucha contra el cambio climático. Son nuestros aliados y jugarán un papel importante en el interior de las ciudades. Todos ellos nos hacen la vida más agradable. Son los Testigos vivos de nuestra historia, los viajeros del tiempo y del espacio, son los herederos del modelo de ciudad sostenible que construimos ahora. La ruta Testigos de la Historia es una razón mas para recorrer el anillo ciclista, es la oportunidad de conocer un anillo de Árboles Monumentales y Singulares rodeando la Ciutat Vella, cargada de historia y de la cual muchos de estos árboles han sido testigos.","La presència d’Arbres Monumentals i Singulars a la ciutat de València, reflecteix l’esperit de persones, moltes anònimes, que van apostar per conservar i protegir a uns dels éssers vius més longeus del Planeta, i la capacitat del qual de créixer durant tota la seua vida ens permet hui dia sorprendre’ns amb les seues dimensions o per característiques que res tenen a veure amb les mesures sinó amb les seues rareses, la seua forma peculiar, els fets històrics associats a ells o perquè són espècies úniques.Tots ells de forma silenciosa contribueixen en la lluita contra el canvi climàtic. Són els nostres aliats i jugaran un paper important a l’interior de les ciutats.Tots ells ens fan la vida més agradable. Són els Testimonis vius de la nostra història, els viatgers del temps i de l’espai, són els hereus del model de ciutat sostenible que construïm ara.La ruta Testimonis de la Història és una raó mes per a recórrer l’anell ciclista, és l’oportunitat de conéixer un anell d’Arbres Monumentals i Singulars envoltant la Ciutat Vella, carregada d’història i de la qual molts d’aquests arbres han sigut testimonis.","The presence of Monumental and Singular Trees in the city of Valencia, reflects the spirit of people, many anonymous, who bet to preserve and protect some of the longest-lived living beings on the planet, and the ability of which to grow throughout his life allows us today to be surprised with its size or characteristics that have nothing to do with the measures but with their rarity, its peculiar shape, the historical facts associated with them or because they are unique species. All of them silently contribute to the fight against climate change. They are our allies and will play an important role inside cities. They all make our lives more pleasant. They are the living witnesses of our history, the travelers of time and space, they are the heirs of the sustainable city model that we are building now. The Witnesses of History route is one more reason to ride the cycling ring, it is the opportunity to know a ring of Monumental and Singular Trees surrounding the Ciutat Vella, full of history and of which many of these trees have been witnesses."
Arbres: Els indians,"Ruta por el barrio de Ayora que finaliza al Jardín del mismo nombre, donde podemos encontrar varios ejemplares procedentes otros continentes del mundo.","Route through the neighborhood of Ayora that ends in the Garden of the same name, where we can find several specimens from other continents of the world","Ruta pel barri dAyora que finalitza al Jardí del mateix nom, on podem trobar diversos exemplars procedents altres continents del món.",60,baja,Av. de J. J. Dómine,Palacete de Ayora,https://cultural.valencia.es/wp-content/uploads/2019/01/indianslistado.jpg,https://cultural.valencia.es/es/ruta/arboles-los-indianos/,peu,Turística,"La presencia de Árboles Monumentales y Singulares en la ciudad de València, refleja el espíritu de personas, muchas anónimas, que apostaron para conservar y proteger a unos de los seres vivos más longevos del Planeta, y la capacidad del cual de crecer durante toda su vida nos permite hoy en día sorprendernos con sus dimensiones o por características que nada tienen que ver con las medidas sino con sus rarezas, su forma peculiar, los hechos históricos asociados a ellos o porque son especies únicas. Los “Indianos” es la ruta de los que vienen de muy lejos, los llevaron aquellas personas que se aventuraron a cruzar el Atlántico y volvieron. Y con ellos llegaron especies exóticas, que los acompañaron en su viaje de retorno. Hoy forman parte de nuestro paisaje urbano y nos recuerdan a aquellos “indianos”.","La presència d’Arbres Monumentals i Singulars a la ciutat de València, reflecteix l’esperit de persones, moltes anònimes, que van apostar per conservar i protegir a uns dels éssers vius més longeus del Planeta, i la capacitat del qual de créixer durant tota la seua vida ens permet hui dia sorprendre’ns amb les seues dimensions o per característiques que res tenen a veure amb les mesures sinó amb les seues rareses, la seua forma peculiar, els fets històrics associats a ells o perquè són espècies úniques. Els “Indians” és la ruta dels que vénen de molt lluny, els van portar aquelles persones que es van aventurar a creuar l’Atlàntic i van tornar. I amb ells van arribar espècies exòtiques, que els van acompanyar en el seu viatge de retorn. Hui formen part del nostre paisatge urbà i ens recorden a aquells “indians”.","The presence of Monumental and Singular Trees in the city of Valencia, reflects the spirit of people, many anonymous, who bet to preserve and protect some of the longest-lived living beings of the Planet, and the ability of which to grow throughout their lives allows us today to be surprised with their dimensions or characteristics that have nothing to do with the measures but with their rarities, their peculiar shape, the historical facts associated with them or because they are unique species. The ""Indianos"" is the route of those who come from far away, they were taken by those people who ventured across the Atlantic and returned. And with them came exotic species, which accompanied them on their return journey. Today they are part of our urban landscape and remind us of those ""Indians""."
Arbres: Un passeig per l’Albereda,"Esta ruta nos traslada a este emblemático lugar el nombre el cual tiene su origen en la presencia de unos árboles, los álamos, de los cuales todavía podemos encontrar algún ejemplar.","This route takes us to this emblematic place whose name has its origin in the presence of some trees, the poplars, of which we can still find some specimens","Aquesta ruta ens trasllada a aquest emblemàtic lloc el nom el qual té el seu origen en la presència duns arbres, els àlbers, dels quals encara podem trobar algun exemplar.",60,baja,Plaza de Zaragoza,Avenida de Blasco Ibañez (Confederación hidrográfica del Júcar),https://cultural.valencia.es/wp-content/uploads/2019/02/rsz_19549561108_c68ef1c8b0_k.jpg,https://cultural.valencia.es/es/ruta/arboles-un-paseo-por-la-alameda/,peu,Turística,"La alameda nació con vocación de ser un paseo para la ciudadanía. Por eso, “Un paseo por la alameda” nos traslada a este emblemático lugar el nombre el cual tiene su origen en la presencia de unos árboles, los álamos, de los cuales todavía podemos encontrar algún ejemplar y nos permitirá descubrir un gran número de especies, singulares y monumentales en una parte de la ciudad cargada de historia.","L’albereda va nàixer amb vocació de ser un passeig per a la ciutadania. Per això, “Un passeig per l’albereda” ens trasllada a aquest emblemàtic lloc el nom el qual té el seu origen en la presència d’uns arbres, els àlbers, dels quals encara podem trobar algun exemplar i ens permetrà descobrir un gran nombre d’espècies, singulars i monumentals en una part de la ciutat carregada d’història.","The alameda was born with the vocation of being a walk for the citizens. Therefore, ""A walk through the alameda"" takes us to this emblematic place whose name has its origin in the presence of some trees, poplars, of which we can still find some specimens and allow us to discover a large number of species, unique and monumental in a part of the city full of history."
Arbres: Un viatge pel Mediterrani,"La presencia de Árboles Monumentales y Singulares a la ciudad de Valencia, refleja el espíritu de personas, muchas anónimas, que apostaron para conservar y proteger a unos de los seres vivos más longevos del Planeta, y la capacidad del cual de crecer d","The presence of Monumental and Singular Trees in the city of Valencia, reflects the spirit of people, many anonymous, who bet to conserve and protect some of the longest-lived living beings of the planet, and the ability of which to grow d","La presència dArbres Monumentals i Singulars a la ciutat de València, reflecteix lesperit de persones, moltes anònimes, que van apostar per a conservar i protegir a uns dels éssers vius més longeus del Planeta, i la capacitat del qual de créixer d",60,baja,Parque Wangari Maathai,Centro Cultural la Rambleta,https://cultural.valencia.es/wp-content/uploads/2019/01/phoenix_dactylifera_malditofriki-1.jpg,https://cultural.valencia.es/es/ruta/arboles-un-viaje-por-el-mediterraneo/,peu,Turística,"“Un viaje por el Mediterráneo” es una travesía por un Mar de culturas y un “Mar” de árboles, en los dominios del Mare Nostrum, ellos hablan y vinculan nuestros lazos históricos. Diferentes países con un nexo común: el clima y sus árboles. Y para descubrirlo, nada mejor que el Jardín de la *Rambleta, diseñado por sus creadores para “cuestionar la relación de los humanos con la naturaleza poderosa a la visión de omnipotencia del humano capaz de doblarla a su conveniencia, optando ahora por la investigación de una relación de respeto e integración”.","“Un viatge pel Mediterrani” és una travessia per un Mar de cultures i un “Mar” d’arbres, en els dominis del Mare Nostrum, ells en parlen i vinculen els nostres llaços històrics. Diferents països amb un nexe comú: el clima i els seus arbres.I per a descobrir-ho, res millor que el Jardí de la Rambleta, dissenyat per els seus creadors per a “qüestionar la relació dels humans amb la naturalesa poderosa a la visió d’omnipotència de l’humà capaç de doblegar-la a la seua conveniència, optant ara per la recerca d’una relació de respecte i integració”.","""A journey through the Mediterranean"" is a journey through a Sea of cultures and a ""Sea"" of trees, in the domains of the Mare Nostrum, they speak and link our historical ties. Different countries with a common link: the climate and its trees. And to discover it, nothing better than the Garden of the *Rambleta, designed by its creators to ""question the relationship of humans with the powerful nature to the vision of omnipotence of the human being able to bend it to his convenience, opting now for the investigation of a relationship of respect and integration."
Ruta Carrer Russafa - la Llotja,"La ruta que transcurre entre la Calle Ruzafa y el monumento de la Lonja es un recorrido obligado para cualquier persona que quiera conocer la esencia de Valencia y su patrimonio histórico único. Es un paseo que el visitante percibirá cargado de solera,","The route that runs between Ruzafa Street and the monument of La Lonja is a must for anyone who wants to know the essence of Valencia and its unique historical heritage. It is a walk that the visitor will perceive loaded with tradition,","La ruta que transcorre entre el Carrer *Ruzafa i el monument de la Llotja és un recorregut obligat per a qualsevol persona que vulga conéixer lessència de València i el seu patrimoni històric únic. És un passeig que el visitant percebrà carregat de solera,",360,baja,Plaza de Toros,Iglesia de los Santos Juanes,https://cultural.valencia.es/wp-content/uploads/2018/10/MERCAT-CENTRAL-destacada.jpg,https://cultural.valencia.es/es/ruta/carrer-russafa-la-llotja/,peu,Patrimonial,"La ruta que transcurre entre la Calle *Russafa y el monumento de la Llotja es un recorrido obligado para cualquier persona que quiera conocer la esencia de València y su patrimonio histórico único. Es un paseo que el visitante percibirá cargado de solera, andando por unas calles en las cuales late con ánimo el pulso de una ciudad moderna que ha sabido evolucionar sin renunciar a sus tradiciones. En este entorno privilegiado transcurre desde hace siglos la actividad cotidiana de miles y miles de valencianos. Unas calles siempre vigiladas por la imponente presencia de algunos de los monumentos más emblemáticos y reconocibles de nuestro paisaje urbano. El recorrido transcurre en pleno centro de la ciudad, por el distrito de Ciutat Vella, y en su transcurso conviven de forma armónica sus principales edificios administrativos, teatros centenarios, antiguas iglesias, comercios antiguos y modernos, centros culturales y otras joyas artísticas y arquitectónicas representativas de València.","La ruta que transcorre entre el Carrer Russafa i el monument de la Llotja és un recorregut obligat per a qualsevol persona que vulga conèixer l’essència de València i el seu patrimoni històric únic.És un passeig que el visitant percebrà carregat de solera, caminant per uns carrers en les quals batega amb ànim el pols d’una ciutat moderna que ha sabut evolucionar sense renunciar a les seues tradicions.En aquest entorn privilegiat transcorre des de fa segles l’activitat quotidiana de milers i milers de valencians. Uns carrers sempre vigilats per la imponent presència d’alguns dels monuments més emblemàtics i recognoscibles del nostre paisatge urbà.El recorregut transcorre en ple centre de la ciutat, pel districte de Ciutat Vella, i en el seu transcurs conviuen de forma harmònica els seus principals edificis administratius, teatres centenaris, antigues esglésies, comerços antics i moderns, centres culturals i altres joies artístiques i arquitectòniques representatives de València.","The route that runs between Russafa Street and the monument of the Llotja is a must for anyone who wants to know the essence of Valencia and its unique historical heritage. It is a walk that the visitor will perceive full of tradition, walking through streets in which the pulse of a modern city that has evolved without renouncing its traditions beats with spirit. In this privileged environment, the daily activity of thousands and thousands of Valencians has been taking place for centuries. The streets are always watched over by the imposing presence of some of the most emblematic and recognizable monuments of our urban landscape. The route runs through the heart of the city, through the district of Ciutat Vella, and in its course coexist harmoniously its main administrative buildings, centuries-old theaters, ancient churches, old and modern stores, cultural centers and other artistic and architectural jewels representative of Valencia."
Contes Blasco Ibañez – Ruta 1,"La primera ruta de Cuentos de Blasco Ibañez permite redescubrir espacios existentes como la plaza de toros y otros ya desaparecidos como la puerta de San Vicente y el penal de San Agustín, incluso otros en los solares del cual hay edificaciones con usos muy diferentes, caso de la prisión de Sant Gregori.","The first route of Tales of Blasco Ibañez allows to rediscover existing spaces such as the bullring and others already disappeared as the door of San Vicente and the prison of San Agustin, even others in the lots of which there are buildings with very different uses, such as the prison of Sant Gregori.","La primera ruta de Contes de Blasco Ibañez permet redescobrir espais existents com la plaça de bous i altres ja desapareguts com la porta de Sant Vicent i el penal de Sant Agustí, fins i tot uns altres en els solars del qual hi ha edificacions amb usos molt diferents, cas de la presó de Sant Gregori.",105,baja,Plaza de Toros,Casa natal de San Vicente Ferrer,https://cultural.valencia.es/wp-content/uploads/2018/08/rutes-literaries-blasco-ibañez-191x300.jpg,https://cultural.valencia.es/es/ruta/cuentos-blasco-ibanez-ruta-1/,peu,Literària,"La primera ruta de Cuentos de Blasco Ibañez permite redescubrir espacios existentes como la plaza de toros y otros ya desaparecidos como la puerta de San Vicente y el penalti de San Agustín, incluso otros en los solares del cual hay edificaciones con usos muy diferentes, caso de la prisión de Sant Gregori. Desde allí, y siguiendo la calle de las Barcas, llegaremos hasta la iglesia del Patriarca para dar finalmente con el *Pouet de San Vicente","La primera ruta de Contes de Blasco Ibañez permet redescobrir espais existents com la plaça de bous i uns altres ja desapareguts com la porta de Sant Vicent i el penal de Sant Agustín, fins i tot uns altres en els solars del qual hi ha edificacions amb usos molt diferents, cas de la presó de Sant Gregori. Des d’allí, i seguint el carrer de les Barques, arribarem fins a l’església del Patriarca per a donar finalment amb el Pouet de Sant Vicent","The first route of Cuentos de Blasco Ibañez allows rediscovering existing spaces such as the bullring and others already disappeared as the door of San Vicente and the San Agustin prison, even others in the lots of which there are buildings with very different uses, as in the case of the prison of Sant Gregori. From there, and following the street of the Barcas, we will arrive until the church of the Patriarch to give finally with the *Pouet of San Vicente"
Contes Blasco Ibañez – Ruta 2,"En este segundo itinerario, llegaremos hasta el centro histórico de la ciudad, partiendo desde el oeste y cruzando la cama del Turia a través del mismo puente por el cual discurría lo roder que protagonizaba el relato, ya citado, de «Guapeza valenciana».","In this second itinerary, we will arrive until the historical center of the city, leaving from the west and crossing the bed of the Turia through the same bridge by which the roder that starred in the story, already mentioned, of ""Valencian Guapeza"" ran","En aquest segon itinerari, arribarem fins al centre històric de la ciutat, partint des de loest i creuant el llit del Túria a través del mateix pont pel qual discorria el *roder que protagonitzava el relat, ja citat, de «*Guapeza valenciana».",105,baja,Puente de San José,La Lonja,https://cultural.valencia.es/wp-content/uploads/2018/08/rutes-literaries-blasco-ibañez-191x300.jpg,https://cultural.valencia.es/es/ruta/cuentos-blasco-ibanez-ruta-2/,peu,Literària,"El segundo itinerario de los cuentos de Blasco Ibañez nos puede llevar desde el puente de Sant Josep a los lugares donde estuvo situada la capilla del gremio de los curtidores, frente a las *Alameditas de Serranos. A continuación, se accederá al palacio de la Generalitat, donde siglos atrás estuvo la Real Audiencia, y bordeando lo *Miguelete se recorrerá la antigua zona de las platerías para desembocar en la plaza del Mercado y acabar el recorrido junto a la Llotja.","El segon itinerari dels contes de Blasco Ibañez ens pot portar des del pont de Sant Josep als llocs on va estar situada la capella del gremi dels blanquers, enfront de les Alameditas de Serrans. Tot seguit, s’accedirà al palau de la Generalitat, on segles arrere va estar la Real Audiència, i vorejant el Miguelete es recorrerà l’antiga zona de les argenteries per a desembocar en la plaça del Mercat i acabar el recorregut al costat de la Llotja.","The second itinerary of the stories of Blasco Ibañez can take us from the bridge of Sant Josep to the places where the chapel of the tanners guild was located, in front of the *Alameditas de Serranos. Then, it will accede to the palace of the Generalitat, where centuries ago was the Real Audiencia, and skirting the *Miguelete it will cross the old zone of the platerías to end up in the square of the Market and to finish the route next to the Llotja."
Entre Naranjos,"Ateniéndonos a lo narrado en la novela Entre naranjos, se traza una ruta donde se sitúan los espacios por los que transitó el protagonista alcireño del relato en su breve estancia en la ciudad antes de emprender una fuga amorosa con la hermosa cantante de ópera Leonora.","Following the narration of the novel ""Entre naranjos"", a route is traced where the spaces through which the protagonist from Alcira travelled during his brief stay in the city before embarking on his amorous escape with the beautiful opera singer Leonora","Atenint-nos al narrat en la novel·la Entre tarongers, es traça una ruta on se situen els espais pels quals va transitar el protagonista alzireny del relat en la seua breu estada a la ciutat abans demprendre una fugida amorosa amb la bella cantant dòpera Leonora.",105,baja,Estación de Tren,Alameda,https://cultural.valencia.es/wp-content/uploads/2018/07/entre-naranjos-1-wpcf_199x300.jpg,https://cultural.valencia.es/es/ruta/entre-naranjos/,peu,Literària,"Ateniéndonos al narrado en la novela Entre *naranjos, se traza una ruta donde se sitúan los espacios por los cuales transitó el protagonista *alcireny del relato en su breve estancia en la ciudad antes de emprender una fuga amorosa con la bella cantante de ópera *Leonora. En concreto, partiendo desde la esquina de la calle *Lauria con la plaza del Ayuntamiento, se sigue hasta el lugar donde estuvo el desaparecido Café de España. Por la calle de las Barcas se llega hasta el Teatro Principal, y desde allí al Hotel Inglés (antaño de Roma), informando sobre la plaza de *Villarrasa y el palacio del Marqués de Dos Aguas. Después, se accede en la Universidad Literaria desde la calle de la Nave, para marchar a continuación al Parterre, cruzando después por el puente del Real hasta desembocar en la Alameda. Si bien la historia narrada en Entre *naranjos transcurre, fundamentalmente, en un ámbito rural que condiciona de manera decisiva la peripecia amorosa de los protagonistas y sirve al autor para denunciar las maneras del caciquismo y la política local, el desplazamiento de los personajes hasta València permite materializar un interesante itinerario.","Atenint-nos al narrat en la novel·la Entre naranjos, es traça una ruta on se situen els espais pels quals va transitar el protagonista alcireny del relat en la seua breu estada en la ciutat abans d’emprendre una fugida amorosa amb la bella cantant d’òpera Leonora. En concret, partint des de la cantonada del carrer Lauria amb la plaça de l’Ajuntament, se segueix fins al lloc on va estar el desaparegut Café de España. Per el carrer de les Barques s’arriba fins al Teatre Principal, i des d’allí a l’Hotel Inglés (antany de Roma), informant sobre la plaça de Villarrasa i el palau del Marquès de Dosaigües. Després, s’accedeix a la Universitat Literària des del carrer de la Nau, per a marxar a continuació al Parterre, creuant després pel pont del Real fins a desembocar en l’Albereda.Si bé la història narrada en Entre naranjos transcorre, fonamentalment, en un àmbit rural que condiciona de manera decisiva la peripècia amorosa dels protagonistes i servix a l’autor per a denunciar les maneres del caciquisme i la política local, el desplaçament dels personatges fins a València permet materialitzar un interessant itinerari.","Attening to the narrated one in the novel Between *naranjos, a route is traced where the spaces are located by which the protagonist *alcireny of the story transited in his brief stay in the city before undertaking an amorous escape with the beautiful singer of opera *Leonora. Specifically, starting from the corner of the street *Lauria with the square of the Town hall, one continues up to the place where the disappeared Café de España was. By the street of the Barcas one arrives until the Principal Theater, and from there to the English Hotel (formerly of Rome), reporting on the square of *Villarrasa and the palace of the Marqués de Dos Aguas. Afterwards, one enters the Literary University from the street of the Nave, to march next to the Parterre, crossing later by the bridge of the Real until flowing into the Alameda. Although the story narrated in Entre *naranjos takes place, fundamentally, in a rural environment that conditions in a decisive way the amorous vicissitude of the protagonists and serves to the author to denounce the ways of the caciquismo and the local politics, the displacement of the characters until València allows to materialize an interesting itinerary."
Glorieta-Santa Catalina,"Es un auténtico placer darse un paseo tranquilo, sin prisas, por estas calles impregnadas de historia, tan características de Valencia, admirando cada detalle que surge a nuestro paso, visitando los sitios más interesantes. Esta ruta combina la riqueza","It is a real pleasure to take a leisurely stroll, unhurried, through these streets steeped in history, so characteristic of Valencia, admiring every detail that emerges in our path, visiting the most interesting places. This route combines richness","És un autèntic plaer fer-se una passejada tranquil, sense presses, per aquests carrers impregnats dhistòria, tan característiques de València, admirant cada detall que sorgeix al nostre pas, visitant els llocs més interessants. Aquesta ruta combina la riquesa",240,,Santa Catalina,Glorieta,https://cultural.valencia.es/wp-content/uploads/2018/10/logotipo-patriarca.jpg,https://cultural.valencia.es/es/ruta/glorieta-santa-catalina/,peu,Patrimonial,"Es un auténtico placer darse un paseo tranquila, sin prisas, por estas calles impregnadas de historia, tan características de València, admirando cada detalle que surge a nuestro paso, visitando los lugares más interesantes. Esta ruta combina la riqueza patrimonial de monumentos civiles y religiosos, que localizamos principalmente en Ciutat Vella, con la visita a calles residenciales y zonas ajardinadas que han servido como lugares de descanso, recreo y vida social para valencianos de varias generaciones. Desde la Iglesia de Santa Catalina y los alrededores de Calle de la Pau hasta el Palacio del Marqués de Dos Aguas, visitamos los Jardines de la Glorieta, la Universidad vieja y el Teatro Principal, entre otros atractivos puntos de destino.","És un autèntic plaure fer-se una passejada tranquil·la, sense presses,  per aquests carrers impregnats d’història, tan característiques de València, admirant cada detall que sorgeix al nostre pas, visitant els llocs més interessants.Aquesta ruta combina la riquesa patrimonial de monuments civils i religiosos, que localitzem principalment a Ciutat Vella, amb la visita a carrers residencials i zones enjardinades que han servit com a llocs de descans, esbarjo i vida social per a valencians de diverses generacions.Des de l’Església de Santa Catalina i els voltants de Carrer de la Pau fins al Palau del Marquès de Dosaigües, visitem els Jardins de la Glorieta, la Universitat vella i el Teatre Principal, entre altres atractius punts de destinació.","It is a real pleasure to take a leisurely, unhurried stroll through these streets steeped in history, so characteristic of Valencia, admiring every detail that emerges in our path, visiting the most interesting places. This route combines the rich heritage of civil and religious monuments, which we locate mainly in Ciutat Vella, with the visit to residential streets and garden areas that have served as places of rest, recreation and social life for Valencians of several generations. From the Church of Santa Catalina and the surroundings of Calle de la Pau to the Palace of the Marquis of Dos Aguas, we visit the Glorieta Gardens, the Old University and the Teatro Principal, among other attractive destination points."
