descripcion,coordenadas,nombre_ruta,nombre_punto_interes,descripcion_ruta
"Si apostes pel transport sostenible i t'agrada anar amb bicicleta, has de saber que València aplega condicions ideals per al turisme ciclista. Per moltes raons: per la seva mida no excessivament gran, per la seva condició de ciutat pràcticament plana, sense desnivells; per les condicions climàtiques agradables i pel carril bici de més de 120 quilòmetres que connecta tots els barris de la ciutat. A més, l´anell ciclista envolta el centre històric de València i permet accedir fàcilment a aquesta zona absolutament clau de la ciutat.

València pertany a la Xarxa de Ciutats per la Bicicleta, associació per a la generació d'una dinàmica entre ciutats espanyoles que permeti facilitar, fer més segura i desenvolupar la circulació dels ciclistes, especialment al medi urbà.","[-0.3675269613696242, 39.47535274893122]",Ruta València amb bicicleta,Jardí del Túria - Tram VIII,"Antiga llera d'un riu, aquest parc serpenteja pel centre històric de València, passant per sota dels ponts."
"Si apostes pel transport sostenible i t'agrada anar amb bicicleta, has de saber que València aplega condicions ideals per al turisme ciclista. Per moltes raons: per la seva mida no excessivament gran, per la seva condició de ciutat pràcticament plana, sense desnivells; per les condicions climàtiques agradables i pel carril bici de més de 120 quilòmetres que connecta tots els barris de la ciutat. A més, l´anell ciclista envolta el centre històric de València i permet accedir fàcilment a aquesta zona absolutament clau de la ciutat.

València pertany a la Xarxa de Ciutats per la Bicicleta, associació per a la generació d'una dinàmica entre ciutats espanyoles que permeti facilitar, fer més segura i desenvolupar la circulació dels ciclistes, especialment al medi urbà.","[-0.3760626752976218, 39.47937436369554]",Ruta València amb bicicleta,Torres de Serrano,"Torres imponents d'estil gòtic, que formen part de les antigues muralles de la ciutat, amb vistes sobre València i el riu."
"Si apostes pel transport sostenible i t'agrada anar amb bicicleta, has de saber que València aplega condicions ideals per al turisme ciclista. Per moltes raons: per la seva mida no excessivament gran, per la seva condició de ciutat pràcticament plana, sense desnivells; per les condicions climàtiques agradables i pel carril bici de més de 120 quilòmetres que connecta tots els barris de la ciutat. A més, l´anell ciclista envolta el centre històric de València i permet accedir fàcilment a aquesta zona absolutament clau de la ciutat.

València pertany a la Xarxa de Ciutats per la Bicicleta, associació per a la generació d'una dinàmica entre ciutats espanyoles que permeti facilitar, fer més segura i desenvolupar la circulació dels ciclistes, especialment al medi urbà.","[-0.3765345734484891, 39.476986707160464]",Ruta València amb bicicleta,Plaça de Manises,"Impressionant conjunt arquitectònic format pel Palau de la Generalitat, seu de la Presidència de la Generalitat Valenciana, i els Palacios de la Batlia i del Marqués de la SCALA, d'estil gótic-renacentistes, que alberguen les distintes dependències de la Diputació Provincial de València."
"Si apostes pel transport sostenible i t'agrada anar amb bicicleta, has de saber que València aplega condicions ideals per al turisme ciclista. Per moltes raons: per la seva mida no excessivament gran, per la seva condició de ciutat pràcticament plana, sense desnivells; per les condicions climàtiques agradables i pel carril bici de més de 120 quilòmetres que connecta tots els barris de la ciutat. A més, l´anell ciclista envolta el centre històric de València i permet accedir fàcilment a aquesta zona absolutament clau de la ciutat.

València pertany a la Xarxa de Ciutats per la Bicicleta, associació per a la generació d'una dinàmica entre ciutats espanyoles que permeti facilitar, fer més segura i desenvolupar la circulació dels ciclistes, especialment al medi urbà.","[-0.375283890557921, 39.47648236118381]",Ruta València amb bicicleta,Plaça de la Mare de Déu,"Plaça animada, on es troba la font del Túria, envoltada d'edificis històrics emblemàtics i cafeteries a l'aire lliure."
"Si apostes pel transport sostenible i t'agrada anar amb bicicleta, has de saber que València aplega condicions ideals per al turisme ciclista. Per moltes raons: per la seva mida no excessivament gran, per la seva condició de ciutat pràcticament plana, sense desnivells; per les condicions climàtiques agradables i pel carril bici de més de 120 quilòmetres que connecta tots els barris de la ciutat. A més, l´anell ciclista envolta el centre històric de València i permet accedir fàcilment a aquesta zona absolutament clau de la ciutat.

València pertany a la Xarxa de Ciutats per la Bicicleta, associació per a la generació d'una dinàmica entre ciutats espanyoles que permeti facilitar, fer més segura i desenvolupar la circulació dels ciclistes, especialment al medi urbà.","[-0.374463231119716, 39.47591989122176]",Ruta València amb bicicleta,Plaça de l'Almoina,"La plaça de l'Almoina (de l'almoina), a la ciutat de València, se situa al centre històric, al barri de la Seu, al perímetre on va néixer la ciutat, i està considerada la més antiga de la població. Va ser plaça major de la romana Valentia des de l'any 138 abans de Crist, propera al fòrum romà"
"Si apostes pel transport sostenible i t'agrada anar amb bicicleta, has de saber que València aplega condicions ideals per al turisme ciclista. Per moltes raons: per la seva mida no excessivament gran, per la seva condició de ciutat pràcticament plana, sense desnivells; per les condicions climàtiques agradables i pel carril bici de més de 120 quilòmetres que connecta tots els barris de la ciutat. A més, l´anell ciclista envolta el centre històric de València i permet accedir fàcilment a aquesta zona absolutament clau de la ciutat.

València pertany a la Xarxa de Ciutats per la Bicicleta, associació per a la generació d'una dinàmica entre ciutats espanyoles que permeti facilitar, fer més segura i desenvolupar la circulació dels ciclistes, especialment al medi urbà.","[-0.37440167344859393, 39.473369097580765]",Ruta València amb bicicleta,Palacio del Marqués de Dos Aguas,"Aquest palau és la principal mostra del rococó a València. Alberg al seu interior el Museu Nacional de Ceràmica González Martí, i la façana de marbre d'alabastre, és obra d'Ignacio de Vergara."
"Si apostes pel transport sostenible i t'agrada anar amb bicicleta, has de saber que València aplega condicions ideals per al turisme ciclista. Per moltes raons: per la seva mida no excessivament gran, per la seva condició de ciutat pràcticament plana, sense desnivells; per les condicions climàtiques agradables i pel carril bici de més de 120 quilòmetres que connecta tots els barris de la ciutat. A més, l´anell ciclista envolta el centre històric de València i permet accedir fàcilment a aquesta zona absolutament clau de la ciutat.

València pertany a la Xarxa de Ciutats per la Bicicleta, associació per a la generació d'una dinàmica entre ciutats espanyoles que permeti facilitar, fer més segura i desenvolupar la circulació dels ciclistes, especialment al medi urbà.","[-0.37306920216984596, 39.47256422730327]",Ruta València amb bicicleta,El Patriarca,"Petit museu amb una col·lecció d'art religiós, que inclou obres d'El Greco, en un edifici del segle XVI. espai."
"Si apostes pel transport sostenible i t'agrada anar amb bicicleta, has de saber que València aplega condicions ideals per al turisme ciclista. Per moltes raons: per la seva mida no excessivament gran, per la seva condició de ciutat pràcticament plana, sense desnivells; per les condicions climàtiques agradables i pel carril bici de més de 120 quilòmetres que connecta tots els barris de la ciutat. A més, l´anell ciclista envolta el centre històric de València i permet accedir fàcilment a aquesta zona absolutament clau de la ciutat.

València pertany a la Xarxa de Ciutats per la Bicicleta, associació per a la generació d'una dinàmica entre ciutats espanyoles que permeti facilitar, fer més segura i desenvolupar la circulació dels ciclistes, especialment al medi urbà.","[-0.36236415995539223, 39.473420252017945]",Ruta València amb bicicleta,Palau de l'Exposició,Edifici modernista valencià de l'arquitecte Francisco Mora Berenguer que acull esdeveniments públics i privats.
"Si apostes pel transport sostenible i t'agrada anar amb bicicleta, has de saber que València aplega condicions ideals per al turisme ciclista. Per moltes raons: per la seva mida no excessivament gran, per la seva condició de ciutat pràcticament plana, sense desnivells; per les condicions climàtiques agradables i pel carril bici de més de 120 quilòmetres que connecta tots els barris de la ciutat. A més, l´anell ciclista envolta el centre històric de València i permet accedir fàcilment a aquesta zona absolutament clau de la ciutat.

València pertany a la Xarxa de Ciutats per la Bicicleta, associació per a la generació d'una dinàmica entre ciutats espanyoles que permeti facilitar, fer més segura i desenvolupar la circulació dels ciclistes, especialment al medi urbà.","[-0.36430827529787013, 39.47138706943263]",Ruta València amb bicicleta,Pont de les flors,Les flors d'aquesta fita moderna es substitueixen 4 vegades a l'any per garantir que estiguin sempre florides.
"Si apostes pel transport sostenible i t'agrada anar amb bicicleta, has de saber que València aplega condicions ideals per al turisme ciclista. Per moltes raons: per la seva mida no excessivament gran, per la seva condició de ciutat pràcticament plana, sense desnivells; per les condicions climàtiques agradables i pel carril bici de més de 120 quilòmetres que connecta tots els barris de la ciutat. A més, l´anell ciclista envolta el centre històric de València i permet accedir fàcilment a aquesta zona absolutament clau de la ciutat.

València pertany a la Xarxa de Ciutats per la Bicicleta, associació per a la generació d'una dinàmica entre ciutats espanyoles que permeti facilitar, fer més segura i desenvolupar la circulació dels ciclistes, especialment al medi urbà.","[-0.3601494599556288, 39.46642106701521]",Ruta València amb bicicleta,Palau de la Música de València,"Lloc per a actuacions d'orquestra, concerts i altres esdeveniments culturals envoltat d'un parc i jardins."
"Si apostes pel transport sostenible i t'agrada anar amb bicicleta, has de saber que València aplega condicions ideals per al turisme ciclista. Per moltes raons: per la seva mida no excessivament gran, per la seva condició de ciutat pràcticament plana, sense desnivells; per les condicions climàtiques agradables i pel carril bici de més de 120 quilòmetres que connecta tots els barris de la ciutat. A més, l´anell ciclista envolta el centre històric de València i permet accedir fàcilment a aquesta zona absolutament clau de la ciutat.

València pertany a la Xarxa de Ciutats per la Bicicleta, associació per a la generació d'una dinàmica entre ciutats espanyoles que permeti facilitar, fer més segura i desenvolupar la circulació dels ciclistes, especialment al medi urbà.","[-0.35047967344916114, 39.45508217932197]",Ruta València amb bicicleta,Ciutat de les Arts i les Ciències,Complex científic d'última generació situat en un parc enjardinat amb un aquari enorme i una pantalla IMAX.
"Si apostes pel transport sostenible i t'agrada anar amb bicicleta, has de saber que València aplega condicions ideals per al turisme ciclista. Per moltes raons: per la seva mida no excessivament gran, per la seva condició de ciutat pràcticament plana, sense desnivells; per les condicions climàtiques agradables i pel carril bici de més de 120 quilòmetres que connecta tots els barris de la ciutat. A més, l´anell ciclista envolta el centre històric de València i permet accedir fàcilment a aquesta zona absolutament clau de la ciutat.

València pertany a la Xarxa de Ciutats per la Bicicleta, associació per a la generació d'una dinàmica entre ciutats espanyoles que permeti facilitar, fer més segura i desenvolupar la circulació dels ciclistes, especialment al medi urbà.","[-0.3299127577646471, 39.46164343064316]",Ruta València amb bicicleta,La Marina de València,"L'antic port de la ciutat avui és la Marina de València, un espai públic d'un milió de m2 obert a la innovació i la nàutica. Situada al costat del Passeig Marítim de la Platja del Cabanyal, La Marina de València ha esdevingut un focus sociocultural emergent de la ciutat."
"Si apostes pel transport sostenible i t'agrada anar amb bicicleta, has de saber que València aplega condicions ideals per al turisme ciclista. Per moltes raons: per la seva mida no excessivament gran, per la seva condició de ciutat pràcticament plana, sense desnivells; per les condicions climàtiques agradables i pel carril bici de més de 120 quilòmetres que connecta tots els barris de la ciutat. A més, l´anell ciclista envolta el centre històric de València i permet accedir fàcilment a aquesta zona absolutament clau de la ciutat.

València pertany a la Xarxa de Ciutats per la Bicicleta, associació per a la generació d'una dinàmica entre ciutats espanyoles que permeti facilitar, fer més segura i desenvolupar la circulació dels ciclistes, especialment al medi urbà.","[-0.32449228879096537, 39.47473736753662]",Ruta València amb bicicleta,Passeig Marítim de València,"El Passeig Marítim de València comença al costat de la Marina de València i permet connectar la ciutat amb la veïna localitat d'Alboraia i la seua platja de la Patacona. És un luxe per a vianants i banyistes ja que obri un balcó magnífic al Mediterrani, ideal per a un passeig gaudint de la brisa marina o per al running."
