descripcion,coordenadas,nombre_ruta,nombre_punto_interes,descripcion_ruta
"Inici de la ruta, dominada per dos exemplars d’Ombús (Phylotaca dioica) i un Arbre ampolla (Brachychiton populneus).","['-0.3318938,39.4613464,0']",Arbres: Els indians,Avinguda de J.J. Dómine,"La presència d’Arbres Monumentals i Singulars a la ciutat de València, reflecteix l’esperit de persones, moltes anònimes, que van apostar per conservar i protegir a uns dels éssers vius més longeus del Planeta, i la capacitat del qual de créixer durant tota la seua vida ens permet hui dia sorprendre’ns amb les seues dimensions o per característiques que res tenen a veure amb les mesures sinó amb les seues rareses, la seua forma peculiar, els fets històrics associats a ells o perquè són espècies úniques.<br> Els “Indians” és la ruta dels que vénen de molt lluny, els van portar aquelles persones que es van aventurar a creuar l’Atlàntic i van tornar. I amb ells van arribar espècies exòtiques, que els van acompanyar en el seu viatge de retorn. Hui formen part del nostre paisatge urbà i ens recorden a aquells “indians”."
En aquesta part intermèdia abans d’encarar l’Avinguda del Port cap al Jardí d’Aiora podem veure una Palmera pindó (Arecastrum romanzoffianum).,"['-0.3338142,39.4605098,0']",Arbres: Els indians,Drassanes del Grau,"La presència d’Arbres Monumentals i Singulars a la ciutat de València, reflecteix l’esperit de persones, moltes anònimes, que van apostar per conservar i protegir a uns dels éssers vius més longeus del Planeta, i la capacitat del qual de créixer durant tota la seua vida ens permet hui dia sorprendre’ns amb les seues dimensions o per característiques que res tenen a veure amb les mesures sinó amb les seues rareses, la seua forma peculiar, els fets històrics associats a ells o perquè són espècies úniques.<br> Els “Indians” és la ruta dels que vénen de molt lluny, els van portar aquelles persones que es van aventurar a creuar l’Atlàntic i van tornar. I amb ells van arribar espècies exòtiques, que els van acompanyar en el seu viatge de retorn. Hui formen part del nostre paisatge urbà i ens recorden a aquells “indians”."
"Últim tram de la ruta que no obstant això representa la part més extensa d’aquesta. Al Jardí d’Aiora hi ha Eucaliptus, Palmeres de Canàries i Figueres australianes.","['-0.3439986,39.46751,0']",Arbres: Els indians,Jardí d'Aiora,"La presència d’Arbres Monumentals i Singulars a la ciutat de València, reflecteix l’esperit de persones, moltes anònimes, que van apostar per conservar i protegir a uns dels éssers vius més longeus del Planeta, i la capacitat del qual de créixer durant tota la seua vida ens permet hui dia sorprendre’ns amb les seues dimensions o per característiques que res tenen a veure amb les mesures sinó amb les seues rareses, la seua forma peculiar, els fets històrics associats a ells o perquè són espècies úniques.<br> Els “Indians” és la ruta dels que vénen de molt lluny, els van portar aquelles persones que es van aventurar a creuar l’Atlàntic i van tornar. I amb ells van arribar espècies exòtiques, que els van acompanyar en el seu viatge de retorn. Hui formen part del nostre paisatge urbà i ens recorden a aquells “indians”."
"(Chamaerops humilis) En la Plaça del Ajuntament podem trobar un “Palmito”, una palmera europea. Els cabdells de la seua tija són comestibles. Les seues fulles s’utilitzaben per confeccionar graneres. Aquest exemplar té més de 60 anys i el trobarem al costat de la font.","['-0.3766718,39.4697971,0']",Arbres monumentals i singulars,Plaça del Ajuntament,"La presència d’Arbres Monumentals i Singulars a la ciutat de València, reflecteix l’esperit de persones, moltes anònimes, que van apostar per conservar i protegir a uns dels éssers vius més longeus del Planeta, i la capacitat del qual de créixer durant tota la seua vida ens permet hui dia sorprendre’ns amb les seues dimensions o per característiques que res tenen a veure amb les mesures sinó amb les seues rareses, la seua forma peculiar, els fets històrics associats a ells o perquè són espècies úniques.<br><br>Tots ells de forma silenciosa contribueixen en la lluita contra el canvi climàtic. Són els nostres aliats i jugaran un paper important a l’interior de les ciutats.<br><br>Tots ells ens fan la vida més agradable. Són els Testimonis vius de la nostra història, els viatgers del temps i de l’espai, són els hereus del model de ciutat sostenible que construïm ara.<br><br>La ruta Testimonis de la Història és una raó mes per a recórrer l’anell ciclista, és l’oportunitat de conéixer un anell d’Arbres Monumentals i Singulars envoltant la Ciutat Vella, carregada d’història i de la qual molts d’aquests arbres han sigut testimonis.<br><br>"
"En el Jardí de Sant Agustí es troba un lledoner (Celtis australis). Els seus fruits són comestibles i es diuen llidons. Ho trobarem dins del jardí, enfront de l’estàtua del mestre Marçal.","['-0.3803908,39.4685944,0']",Arbres monumentals i singulars,Jardí de Sant Agustí,"La presència d’Arbres Monumentals i Singulars a la ciutat de València, reflecteix l’esperit de persones, moltes anònimes, que van apostar per conservar i protegir a uns dels éssers vius més longeus del Planeta, i la capacitat del qual de créixer durant tota la seua vida ens permet hui dia sorprendre’ns amb les seues dimensions o per característiques que res tenen a veure amb les mesures sinó amb les seues rareses, la seua forma peculiar, els fets històrics associats a ells o perquè són espècies úniques.<br><br>Tots ells de forma silenciosa contribueixen en la lluita contra el canvi climàtic. Són els nostres aliats i jugaran un paper important a l’interior de les ciutats.<br><br>Tots ells ens fan la vida més agradable. Són els Testimonis vius de la nostra història, els viatgers del temps i de l’espai, són els hereus del model de ciutat sostenible que construïm ara.<br><br>La ruta Testimonis de la Història és una raó mes per a recórrer l’anell ciclista, és l’oportunitat de conéixer un anell d’Arbres Monumentals i Singulars envoltant la Ciutat Vella, carregada d’història i de la qual molts d’aquests arbres han sigut testimonis.<br><br>"
Xiprer de Cachemira (Cupreshus cashmeriana). Creix fins als 2800 metres d’altitud. Espècie amenaçada que es va conservar en temples budistes. Té color blau verd brillant.,"['-0.3822362,39.4701225,0']",Arbres monumentals i singulars,"Parc de la Cultura, antic hospital","La presència d’Arbres Monumentals i Singulars a la ciutat de València, reflecteix l’esperit de persones, moltes anònimes, que van apostar per conservar i protegir a uns dels éssers vius més longeus del Planeta, i la capacitat del qual de créixer durant tota la seua vida ens permet hui dia sorprendre’ns amb les seues dimensions o per característiques que res tenen a veure amb les mesures sinó amb les seues rareses, la seua forma peculiar, els fets històrics associats a ells o perquè són espècies úniques.<br><br>Tots ells de forma silenciosa contribueixen en la lluita contra el canvi climàtic. Són els nostres aliats i jugaran un paper important a l’interior de les ciutats.<br><br>Tots ells ens fan la vida més agradable. Són els Testimonis vius de la nostra història, els viatgers del temps i de l’espai, són els hereus del model de ciutat sostenible que construïm ara.<br><br>La ruta Testimonis de la Història és una raó mes per a recórrer l’anell ciclista, és l’oportunitat de conéixer un anell d’Arbres Monumentals i Singulars envoltant la Ciutat Vella, carregada d’història i de la qual molts d’aquests arbres han sigut testimonis.<br><br>"
Til·ler europeu (Tilia europea). En infusió és relaxant.,"['-0.3792016,39.4809367,0']",Arbres monumentals i singulars,Museu José Benlliure,"La presència d’Arbres Monumentals i Singulars a la ciutat de València, reflecteix l’esperit de persones, moltes anònimes, que van apostar per conservar i protegir a uns dels éssers vius més longeus del Planeta, i la capacitat del qual de créixer durant tota la seua vida ens permet hui dia sorprendre’ns amb les seues dimensions o per característiques que res tenen a veure amb les mesures sinó amb les seues rareses, la seua forma peculiar, els fets històrics associats a ells o perquè són espècies úniques.<br><br>Tots ells de forma silenciosa contribueixen en la lluita contra el canvi climàtic. Són els nostres aliats i jugaran un paper important a l’interior de les ciutats.<br><br>Tots ells ens fan la vida més agradable. Són els Testimonis vius de la nostra història, els viatgers del temps i de l’espai, són els hereus del model de ciutat sostenible que construïm ara.<br><br>La ruta Testimonis de la Història és una raó mes per a recórrer l’anell ciclista, és l’oportunitat de conéixer un anell d’Arbres Monumentals i Singulars envoltant la Ciutat Vella, carregada d’història i de la qual molts d’aquests arbres han sigut testimonis.<br><br>"
"Figuera australiana (Ficus macrophilia). L’escorça és grisa. Altres exemplars d’interés en el Palau de Raga, Plaça del Centenar de l’Emploma.","['-0.376478,39.4795419,0']",Arbres monumentals i singulars,Torres de Serrans,"La presència d’Arbres Monumentals i Singulars a la ciutat de València, reflecteix l’esperit de persones, moltes anònimes, que van apostar per conservar i protegir a uns dels éssers vius més longeus del Planeta, i la capacitat del qual de créixer durant tota la seua vida ens permet hui dia sorprendre’ns amb les seues dimensions o per característiques que res tenen a veure amb les mesures sinó amb les seues rareses, la seua forma peculiar, els fets històrics associats a ells o perquè són espècies úniques.<br><br>Tots ells de forma silenciosa contribueixen en la lluita contra el canvi climàtic. Són els nostres aliats i jugaran un paper important a l’interior de les ciutats.<br><br>Tots ells ens fan la vida més agradable. Són els Testimonis vius de la nostra història, els viatgers del temps i de l’espai, són els hereus del model de ciutat sostenible que construïm ara.<br><br>La ruta Testimonis de la Història és una raó mes per a recórrer l’anell ciclista, és l’oportunitat de conéixer un anell d’Arbres Monumentals i Singulars envoltant la Ciutat Vella, carregada d’història i de la qual molts d’aquests arbres han sigut testimonis.<br><br>"
Conjunt de palmeres monumentals.,"['-0.3707602,39.476343,0']",Arbres monumentals i singulars,Plaça del Temple,"La presència d’Arbres Monumentals i Singulars a la ciutat de València, reflecteix l’esperit de persones, moltes anònimes, que van apostar per conservar i protegir a uns dels éssers vius més longeus del Planeta, i la capacitat del qual de créixer durant tota la seua vida ens permet hui dia sorprendre’ns amb les seues dimensions o per característiques que res tenen a veure amb les mesures sinó amb les seues rareses, la seua forma peculiar, els fets històrics associats a ells o perquè són espècies úniques.<br><br>Tots ells de forma silenciosa contribueixen en la lluita contra el canvi climàtic. Són els nostres aliats i jugaran un paper important a l’interior de les ciutats.<br><br>Tots ells ens fan la vida més agradable. Són els Testimonis vius de la nostra història, els viatgers del temps i de l’espai, són els hereus del model de ciutat sostenible que construïm ara.<br><br>La ruta Testimonis de la Història és una raó mes per a recórrer l’anell ciclista, és l’oportunitat de conéixer un anell d’Arbres Monumentals i Singulars envoltant la Ciutat Vella, carregada d’història i de la qual molts d’aquests arbres han sigut testimonis.<br><br>"
Carrasca de glans dolços (Quercus ballota). Al costat de la font del tritó (col·locada en 1833).,"['-0.3695467,39.472754,0']",Arbres monumentals i singulars,Jardins de la Glorieta i el Parterre,"La presència d’Arbres Monumentals i Singulars a la ciutat de València, reflecteix l’esperit de persones, moltes anònimes, que van apostar per conservar i protegir a uns dels éssers vius més longeus del Planeta, i la capacitat del qual de créixer durant tota la seua vida ens permet hui dia sorprendre’ns amb les seues dimensions o per característiques que res tenen a veure amb les mesures sinó amb les seues rareses, la seua forma peculiar, els fets històrics associats a ells o perquè són espècies úniques.<br><br>Tots ells de forma silenciosa contribueixen en la lluita contra el canvi climàtic. Són els nostres aliats i jugaran un paper important a l’interior de les ciutats.<br><br>Tots ells ens fan la vida més agradable. Són els Testimonis vius de la nostra història, els viatgers del temps i de l’espai, són els hereus del model de ciutat sostenible que construïm ara.<br><br>La ruta Testimonis de la Història és una raó mes per a recórrer l’anell ciclista, és l’oportunitat de conéixer un anell d’Arbres Monumentals i Singulars envoltant la Ciutat Vella, carregada d’història i de la qual molts d’aquests arbres han sigut testimonis.<br><br>"
