,name,description,types,duration,dificulty,start,end,image,url
0,Árboles monumentales y singulares,"Los Árboles Monumentales y Singulares reflejan el espíritu de personas, muchas anónimas, que apostaron por conservar y proteger a unos de los seres vivos más longevos del Planeta.","['bicicleta', 'Històrica']",2 h,baja,Plaza del Ayuntamiento,Jardines de la Glorieta y Parterre,https://cultural.valencia.es/wp-content/uploads/2019/01/ficus-valencia-parterre.jpg,https://cultural.valencia.es/es/ruta/testigos-de-la-historia-arboles-monumentales-y-singulares-de-la-ciudad-de-valencia/
1,Árboles: La vuelta al mundo,"Ruta que contiene árboles originarios de todo el mundo, situados todos ellos en los Jardines del Real (Viveros), en el corazón de València.","['peu', 'Turística']",30 min,baja,Entrada Jardines del Real (C/ San Pio V),Museo de Ciencias Naturales,https://cultural.valencia.es/wp-content/uploads/2019/01/Arbres_als_jardins_de_Vivers_de_València.jpg,https://cultural.valencia.es/es/ruta/arboles-la-vuelta-al-mundo/
2,Árboles: Los indianos,"Ruta por el barrio de Ayora que finaliza al Jardín del mismo nombre, donde podemos encontrar varios ejemplares procedentes otros continentes del mundo.","['peu', 'Turística']",1h,baja,Av. de J. J. Dómine,Palacete de Ayora,https://cultural.valencia.es/wp-content/uploads/2019/01/indianslistado.jpg,https://cultural.valencia.es/es/ruta/arboles-los-indianos/
3,Árboles: Un paseo por la alameda,"Esta ruta nos traslada a este emblemático lugar el nombre el cual tiene su origen en la presencia de unos árboles, los álamos, de los cuales todavía podemos encontrar algún ejemplar.","['peu', 'Turística']",1h,baja,Plaza de Zaragoza,Avenida de Blasco Ibañez (Confederación hidrográfica del Júcar),https://cultural.valencia.es/wp-content/uploads/2019/02/rsz_19549561108_c68ef1c8b0_k.jpg,https://cultural.valencia.es/es/ruta/arboles-un-paseo-por-la-alameda/
4,Árboles: Un viaje por el Mediterráneo,"La presencia de Árboles Monumentales y Singulares a la ciudad de Valencia, refleja el espíritu de personas, muchas anónimas, que apostaron para conservar y proteger a unos de los seres vivos más longevos del Planeta, y la capacidad del cual de crecer d","['peu', 'Turística']",1 h,baja,Parque Wangari Maathai,Centro Cultural la Rambleta,https://cultural.valencia.es/wp-content/uploads/2019/01/phoenix_dactylifera_malditofriki-1.jpg,https://cultural.valencia.es/es/ruta/arboles-un-viaje-por-el-mediterraneo/
5,Calle Ruzafa – La Lonja,"La ruta que transcurre entre la Calle Ruzafa y el monumento de la Lonja es un recorrido obligado para cualquier persona que quiera conocer la esencia de Valencia y su patrimonio histórico único. Es un paseo que el visitante percibirá cargado de solera,","['peu', 'Patrimonial']",6 horas,baja,Plaza de Toros,Iglesia de los Santos Juanes,https://cultural.valencia.es/wp-content/uploads/2018/10/MERCAT-CENTRAL-destacada.jpg,https://cultural.valencia.es/es/ruta/carrer-russafa-la-llotja/
6,Cuentos Blasco Ibañez – Ruta 1,"La primera ruta de Cuentos de Blasco Ibañez permite redescubrir espacios existentes como la plaza de toros y otros ya desaparecidos como la puerta de San Vicente y el penal de San Agustín, incluso otros en los solares del cual hay edificaciones con usos muy diferentes, caso de la prisión de Sant Gregori.","['peu', 'Literària']",Entre 1 hora y media y 2 horas,baja,Plaza de Toros,Casa natal de San Vicente Ferrer,https://cultural.valencia.es/wp-content/uploads/2018/08/rutes-literaries-blasco-ibañez-191x300.jpg,https://cultural.valencia.es/es/ruta/cuentos-blasco-ibanez-ruta-1/
7,Cuentos Blasco Ibañez – Ruta 2,"En este segundo itinerario, llegaremos hasta el centro histórico de la ciudad, partiendo desde el oeste y cruzando la cama del Turia a través del mismo puente por el cual discurría lo roder que protagonizaba el relato, ya citado, de «Guapeza valenciana».","['peu', 'Literària']",Entre 1 hora y media y 2 horas,baja,Puente de San José,La Lonja,https://cultural.valencia.es/wp-content/uploads/2018/08/rutes-literaries-blasco-ibañez-191x300.jpg,https://cultural.valencia.es/es/ruta/cuentos-blasco-ibanez-ruta-2/
8,Entre naranjos,"Ateniéndonos a lo narrado en la novela Entre naranjos, se traza una ruta donde se sitúan los espacios por los que transitó el protagonista alcireño del relato en su breve estancia en la ciudad antes de emprender una fuga amorosa con la hermosa cantante de ópera Leonora.","['peu', 'Literària']",Entre 1 hora y media y 2 horas,baja,Estación de Tren,Alameda,https://cultural.valencia.es/wp-content/uploads/2018/07/entre-naranjos-1-wpcf_199x300.jpg,https://cultural.valencia.es/es/ruta/entre-naranjos/
9,Glorieta – Santa Catalina,"Es un auténtico placer darse un paseo tranquilo, sin prisas, por estas calles impregnadas de historia, tan características de Valencia, admirando cada detalle que surge a nuestro paso, visitando los sitios más interesantes. Esta ruta combina la riqueza","['peu', 'Patrimonial']",4 horas,,Santa Catalina,Glorieta,https://cultural.valencia.es/wp-content/uploads/2018/10/logotipo-patriarca.jpg,https://cultural.valencia.es/es/ruta/glorieta-santa-catalina/
