,age,gender,time_available,route_type,price,difficulty,accompaniment,transport,selection_map
0,35-45,Prefiero no decirlo,1 - 2,Turistica,Gratis,Alta,Familia,Bicicleta,12
1,18-35,Hombre,3 - 4,Literaria,Gratis,Baja,Solo,Bicicleta,9
2,18-35,Hombre,1 - 2,Literaria,1-50 Euros,Baja,Pareja,Pie,14
3,+45,Hombre,3 - 4,Historica,1-50 Euros,Baja,Pareja,Bicicleta,22
4,+45,Mujer,7 - 8,Literaria,Gratis,Baja,Solo,Bicicleta,10
5,18-35,Mujer,1 - 2,Literaria,1-50 Euros,Baja,Pareja,Pie,1
6,18-35,Hombre,1 - 2,Historica,Gratis,Baja,Pareja,Pie,14
7,35-45,Mujer,1 - 2,Turistica,1-50 Euros,Baja,Solo,Pie,14
8,18-35,Hombre,5 - 6,Historica,Gratis,Baja,Solo,Bicicleta,6
9,18-35,Prefiero no decirlo,1 - 2,Historica,Gratis,Baja,Pareja,Pie,10
10,18-35,Mujer,1 - 2,Turistica,Gratis,Baja,Pareja,Pie,17
11,18-35,Hombre,1 - 2,Historica,+50 Euros,Alta,Solo,Bicicleta,9
12,18-35,Prefiero no decirlo,3 - 4,Historica,Gratis,Baja,Pareja,Pie,16
13,+45,Hombre,7 - 8,Patrimonio,Gratis,Alta,Pareja,Bicicleta,21
14,18-35,Mujer,1 - 2,Historica,Gratis,Baja,Solo,Pie,4
15,35-45,Mujer,7 - 8,Historica,+50 Euros,Baja,Pareja,Bicicleta,18
16,35-45,Hombre,3 - 4,Historica,Gratis,Alta,Pareja,Bicicleta,14
17,18-35,Mujer,1 - 2,Historica,1-50 Euros,Baja,Solo,Pie,20
18,18-35,Mujer,1 - 2,Turistica,1-50 Euros,Alta,Pareja,Bicicleta,18
19,18-35,Hombre,7 - 8,Turistica,1-50 Euros,Baja,Solo,Bicicleta,9
20,35-45,Hombre,5 - 6,Patrimonio,Gratis,Baja,Pareja,Bicicleta,15
21,18-35,Hombre,3 - 4,Historica,Gratis,Baja,Pareja,Bicicleta,6
22,35-45,Hombre,1 - 2,Literaria,1-50 Euros,Alta,Solo,Pie,22
23,18-35,Mujer,3 - 4,Historica,Gratis,Alta,Pareja,Pie,19
24,35-45,Hombre,1 - 2,Historica,Gratis,Alta,Pareja,Bicicleta,19
25,18-35,Mujer,3 - 4,Turistica,1-50 Euros,Alta,Familia,Bicicleta,23
26,18-35,Mujer,7 - 8,Turistica,+50 Euros,Baja,Solo,Pie,13
27,18-35,Hombre,7 - 8,Historica,+50 Euros,Baja,Solo,Pie,16
28,18-35,Mujer,1 - 2,Historica,1-50 Euros,Alta,Solo,Bicicleta,7
29,+45,Hombre,3 - 4,Turistica,+50 Euros,Baja,Solo,Pie,1
30,35-45,Hombre,3 - 4,Historica,1-50 Euros,Baja,Familia,Pie,2
31,35-45,Mujer,1 - 2,Patrimonio,Gratis,Alta,Pareja,Bicicleta,22
32,35-45,Hombre,1 - 2,Historica,1-50 Euros,Baja,Solo,Bicicleta,20
33,18-35,Hombre,7 - 8,Turistica,1-50 Euros,Baja,Pareja,Pie,1
34,35-45,Hombre,3 - 4,Historica,+50 Euros,Alta,Pareja,Bicicleta,17
35,18-35,Hombre,1 - 2,Patrimonio,Gratis,Baja,Pareja,Bicicleta,13
36,18-35,Hombre,7 - 8,Historica,1-50 Euros,Alta,Solo,Pie,5
37,35-45,Hombre,1 - 2,Historica,Gratis,Baja,Solo,Pie,4
38,18-35,Hombre,7 - 8,Patrimonio,1-50 Euros,Baja,Solo,Bicicleta,11
39,18-35,Mujer,1 - 2,Historica,Gratis,Baja,Solo,Bicicleta,21
40,35-45,Hombre,1 - 2,Historica,1-50 Euros,Baja,Pareja,Pie,15
41,18-35,Mujer,3 - 4,Turistica,+50 Euros,Baja,Familia,Pie,10
42,35-45,Mujer,7 - 8,Turistica,1-50 Euros,Alta,Pareja,Pie,6
43,18-35,Hombre,7 - 8,Historica,Gratis,Alta,Pareja,Pie,20
44,35-45,Mujer,1 - 2,Turistica,1-50 Euros,Alta,Solo,Pie,19
45,18-35,Mujer,1 - 2,Turistica,+50 Euros,Baja,Familia,Pie,4
46,35-45,Prefiero no decirlo,1 - 2,Historica,1-50 Euros,Baja,Solo,Bicicleta,3
47,18-35,Hombre,1 - 2,Turistica,Gratis,Alta,Pareja,Bicicleta,3
48,18-35,Hombre,7 - 8,Turistica,1-50 Euros,Baja,Solo,Bicicleta,8
49,35-45,Mujer,3 - 4,Historica,Gratis,Alta,Familia,Pie,6
50,18-35,Hombre,3 - 4,Historica,Gratis,Baja,Pareja,Pie,21
51,35-45,Hombre,7 - 8,Turistica,+50 Euros,Alta,Pareja,Pie,9
52,35-45,Mujer,3 - 4,Turistica,Gratis,Alta,Pareja,Pie,18
53,+45,Hombre,3 - 4,Historica,Gratis,Alta,Familia,Bicicleta,16
54,18-35,Mujer,3 - 4,Historica,Gratis,Baja,Pareja,Pie,18
55,18-35,Mujer,1 - 2,Historica,+50 Euros,Baja,Pareja,Bicicleta,6
56,35-45,Mujer,1 - 2,Turistica,Gratis,Baja,Solo,Pie,5
57,18-35,Mujer,3 - 4,Turistica,1-50 Euros,Baja,Pareja,Bicicleta,15
58,18-35,Hombre,7 - 8,Historica,Gratis,Baja,Pareja,Pie,3
59,35-45,Mujer,3 - 4,Historica,Gratis,Alta,Solo,Pie,13
60,35-45,Mujer,3 - 4,Patrimonio,Gratis,Baja,Pareja,Pie,12
61,35-45,Hombre,1 - 2,Historica,+50 Euros,Baja,Familia,Bicicleta,21
62,+45,Mujer,1 - 2,Historica,Gratis,Baja,Familia,Pie,12
63,18-35,Hombre,1 - 2,Historica,Gratis,Baja,Solo,Pie,1
64,+45,Mujer,3 - 4,Patrimonio,Gratis,Alta,Solo,Pie,5
65,18-35,Hombre,7 - 8,Patrimonio,1-50 Euros,Alta,Pareja,Bicicleta,16
66,+45,Mujer,1 - 2,Historica,Gratis,Baja,Solo,Bicicleta,1
67,18-35,Hombre,1 - 2,Turistica,1-50 Euros,Alta,Solo,Bicicleta,17
68,+45,Hombre,3 - 4,Literaria,1-50 Euros,Baja,Solo,Pie,22
69,18-35,Mujer,3 - 4,Turistica,1-50 Euros,Alta,Pareja,Pie,3
70,35-45,Mujer,1 - 2,Historica,Gratis,Alta,Solo,Pie,22
71,35-45,Hombre,7 - 8,Literaria,Gratis,Baja,Pareja,Pie,12
72,35-45,Hombre,7 - 8,Literaria,Gratis,Baja,Pareja,Pie,9
73,35-45,Hombre,3 - 4,Turistica,Gratis,Alta,Solo,Bicicleta,16
74,18-35,Mujer,5 - 6,Turistica,Gratis,Alta,Pareja,Pie,9
75,+45,Mujer,5 - 6,Literaria,Gratis,Baja,Familia,Pie,8
76,18-35,Hombre,5 - 6,Literaria,1-50 Euros,Alta,Pareja,Bicicleta,20
77,35-45,Hombre,3 - 4,Historica,1-50 Euros,Baja,Solo,Bicicleta,21
78,18-35,Prefiero no decirlo,3 - 4,Turistica,Gratis,Baja,Pareja,Pie,6
79,18-35,Hombre,3 - 4,Turistica,Gratis,Baja,Solo,Pie,1
80,18-35,Hombre,3 - 4,Turistica,1-50 Euros,Baja,Solo,Pie,2
81,18-35,Hombre,3 - 4,Historica,+50 Euros,Baja,Pareja,Pie,20
82,35-45,Hombre,1 - 2,Historica,Gratis,Baja,Pareja,Pie,22
83,18-35,Hombre,3 - 4,Literaria,+50 Euros,Alta,Pareja,Bicicleta,22
84,18-35,Hombre,1 - 2,Historica,1-50 Euros,Baja,Solo,Pie,6
85,35-45,Mujer,7 - 8,Historica,+50 Euros,Alta,Pareja,Bicicleta,19
86,35-45,Mujer,1 - 2,Turistica,1-50 Euros,Alta,Familia,Pie,21
87,18-35,Hombre,7 - 8,Patrimonio,1-50 Euros,Baja,Pareja,Bicicleta,1
88,+45,Mujer,1 - 2,Literaria,1-50 Euros,Baja,Pareja,Pie,11
89,18-35,Mujer,1 - 2,Turistica,Gratis,Baja,Pareja,Pie,4
90,18-35,Hombre,3 - 4,Turistica,Gratis,Alta,Solo,Bicicleta,22
91,+45,Mujer,3 - 4,Turistica,1-50 Euros,Baja,Pareja,Pie,10
92,18-35,Mujer,1 - 2,Turistica,Gratis,Alta,Familia,Bicicleta,21
93,35-45,Mujer,1 - 2,Historica,Gratis,Alta,Solo,Pie,10
94,35-45,Mujer,1 - 2,Patrimonio,Gratis,Baja,Pareja,Bicicleta,20
95,35-45,Prefiero no decirlo,1 - 2,Historica,Gratis,Alta,Pareja,Pie,4
96,18-35,Hombre,7 - 8,Historica,1-50 Euros,Baja,Pareja,Bicicleta,12
97,18-35,Hombre,1 - 2,Historica,Gratis,Alta,Solo,Bicicleta,1
98,+45,Mujer,3 - 4,Historica,Gratis,Baja,Familia,Pie,20
99,+45,Hombre,3 - 4,Literaria,1-50 Euros,Baja,Familia,Pie,5
100,35-45,Mujer,7 - 8,Historica,Gratis,Alta,Solo,Bicicleta,12
101,18-35,Mujer,5 - 6,Literaria,Gratis,Alta,Solo,Bicicleta,23
102,18-35,Mujer,7 - 8,Turistica,Gratis,Alta,Solo,Pie,22
103,35-45,Hombre,3 - 4,Turistica,Gratis,Baja,Pareja,Pie,20
104,35-45,Hombre,1 - 2,Literaria,1-50 Euros,Baja,Pareja,Bicicleta,17
105,35-45,Mujer,7 - 8,Historica,+50 Euros,Baja,Pareja,Pie,6
106,18-35,Hombre,3 - 4,Literaria,1-50 Euros,Alta,Pareja,Pie,7
107,35-45,Hombre,3 - 4,Historica,Gratis,Baja,Pareja,Bicicleta,17
108,35-45,Mujer,1 - 2,Turistica,Gratis,Alta,Familia,Bicicleta,8
109,35-45,Hombre,3 - 4,Turistica,Gratis,Alta,Pareja,Bicicleta,23
